#0
穿好外套|理解生活提醒|祈使句；be状态|Put on your coat please~请穿上外套|I feel warm in this coat~穿着这件外套我觉得暖和|Now we can go outside~现在我们可以出去了
选择早餐|表达喜好|would like；选择问句|Would you like milk or water~你想喝牛奶还是水|I would like warm milk~我想喝温牛奶|Your breakfast is ready now~你的早餐准备好了
餐前洗手|理解步骤|祈使句；顺序|Please wash your hands first~请先洗手|I need a little soap~我需要一点肥皂|The towel is next to you~毛巾就在你旁边
寻找饭盒|描述物品|whose；形容词|Whose lunch box is this~这是谁的午餐盒|Mine has a picture of a duck~我的盒子上有一只鸭子的图片|This duck has a funny hat~这只鸭子戴着一顶有趣的帽子
收好玩具|合作整理|祈使句；方位词|Let us put the toys away~我们把玩具收好吧|The cars go in this box~小汽车放进这个盒子|I can put the blocks on the shelf~我可以把积木放到架子上
挑选故事|表达选择|which；like|Which story shall we read~我们读哪个故事呢|I like the story about a bear~我喜欢那个关于熊的故事|We can read it before bed~我们可以在睡前读它
睡前道别|关怀与道别|祈使句；未来表达|Good night little brother~晚安小弟弟|Please leave the door open~请把门开着|I will be in the next room~我就在隔壁房间
观察小猫|描述正在发生的事|现在进行时|The cat is hiding behind the chair~猫正躲在椅子后面|Is it playing with a ball~它正在玩球吗|It is watching my little toy~它正在盯着我的小玩具
农场喂食|询问可做的事|can；祈使句|Can we feed the goats~我们可以喂山羊吗|Use the food in this basket~用这个篮子里的食物|I will hold my hand flat~我会把手摊平
池塘看鸭|描述数量和动作|there be；现在进行时|There are three ducks on the pond~池塘上有三只鸭子|The little one is swimming fast~小的那只游得很快|It is trying to catch up with its family~它正努力赶上自己的家人
保护蚂蚁|表达观察与提醒|现在进行时；祈使句|An ant is carrying a seed~一只蚂蚁正在搬种子|That seed looks very big~那粒种子看起来很大|Please do not step on the ant~请不要踩到蚂蚁
寻找树叶|观察和分类|比较；this和that|This leaf is bigger than mine~这片叶子比我的大|Your leaf is a different shape~你的叶子形状不一样|We can put both in our book~我们可以把两片都夹进书里
观察天空|描述事物|look like；一般现在时|That cloud looks like a rabbit~那朵云看起来像只兔子|I can see its long ears~我能看见它的长耳朵|Now the wind is changing its shape~现在风正在改变它的形状
公园放风筝|合作与提醒|祈使句；can|Hold my kite for a moment~帮我拿一会儿风筝|The wind is strong enough now~现在风已经够大了|You can let go of the kite~你可以放开风筝了
轮流荡秋千|协商轮次|whose；请求|Whose turn is it on the swing~轮到谁荡秋千了|It is your turn after me~我之后就轮到你了|Please tell me when you finish~你结束时请告诉我
寻找皮球|询问位置|方位介词；can|Our ball is behind the tree~我们的球在树后面|Can you get it for us~你能帮我们把它拿来吗|I can reach it from this side~我可以从这边够到它
学骑自行车|鼓励与回应|can；祈使句|I can ride a little now~我现在会骑一点了|Keep your eyes on the path~眼睛看着前面的路|Please stay beside me at first~请先待在我旁边
邀请跳绳|邀请与回应|would like；can|Would you like to jump rope~你想来跳绳吗|I can jump ten times~我能跳十下|Let us see how many we can do~我们来看看能跳多少下吧
完成拼图|合作解决问题|where；位置描述|Where does this puzzle piece go~这块拼图放在哪里|It fits beside the blue door~它正好放在蓝门旁边|Now our little house is complete~现在我们的小房子拼完整了
做纸船|询问操作|how；祈使句|How do I fold this paper~这张纸该怎么折|Fold the two corners down~把两个角向下折|My paper boat can float now~现在我的纸船会漂浮了
画一幅画|表达作品内容|一般现在时；can|I want to draw our school~我想画我们的学校|You can start with the gate~你可以先画校门|I will draw my friends beside it~我要把朋友们画在旁边
唱歌排练|表达困难与帮助|can；祈使句|I cannot remember this song~我记不住这首歌|We can sing the first line slowly~我们可以慢慢唱第一句|That helps me hear the words~这样能帮助我听清歌词
礼貌打断|获得注意|礼貌用语；can|Excuse me may I ask something~打扰一下我可以问件事吗|Please wait until I finish~请等我说完|I can wait right here~我可以就在这里等
小小道歉|道歉与接受|一般过去表达；祈使句|Sorry I knocked your pencil down~对不起我把你的铅笔碰掉了|It is beside your left foot~它在你的左脚旁边|Let me pick it up for you~让我帮你捡起来吧
感谢帮助|感谢与回应|thank you for；一般现在时|Thank you for tying my shoe~谢谢你帮我系鞋带|The other lace is loose too~另一根鞋带也松了|I will try that one myself~我来试着自己系那一根
看望新朋友|问候与邀请|祈使句；have|Welcome to our little home~欢迎来我们的小家|I have a gift for your family~我给你家人带了一份礼物|Please come in and sit down~请进来坐吧
门口找鞋|询问规则|where；can|Where can I put my shoes~我可以把鞋放在哪里|There is space beside the mat~垫子旁边有空位|I will put them neatly together~我会把它们整齐地放好
描述心情|表达感受|be加形容词；原因|I feel a little shy today~我今天感觉有点害羞|You can sit with me~你可以和我坐在一起|That makes me feel much better~这样让我感觉好多了
安慰同伴|关怀与建议|what；祈使句|What is making you sad~什么事让你难过了|I cannot find my toy bear~我找不到我的玩具熊了|Let us look under the sofa~我们去沙发下面找找吧
表达不舒服|描述身体感受|have；can|My head hurts a little~我的头有一点疼|We can tell the teacher~我们可以告诉老师|I would like to rest quietly~我想安静地休息一下
留意台阶|表达提醒|祈使句；方位词|Watch the step by the door~小心门边的台阶|I can hold the rail~我可以扶着栏杆|Take one small step at a time~一次迈一小步
站队等候|理解公共规则|祈使句；方位词|Please stand behind the line~请站在线后面|Is this the end of the queue~这里是队伍的末尾吗|Yes we are waiting for the bus~是的我们正在等公交车
乘车让座|关心他人|would like；祈使句|Would you like my seat~您愿意坐我的座位吗|Thank you for being so thoughtful~谢谢你这么体贴|Please hold the rail as you sit~坐下时请扶着栏杆
回收纸张|分类与建议|can；this和that|Can this paper go in the bin~这张纸可以放进这个箱子吗|This is the box for clean paper~这是放干净纸张的箱子|We can use the other side first~我们可以先用纸的另一面
关掉水龙头|节约资源|现在进行时；祈使句|The tap is still running~水龙头还在流水|Please turn it off gently~请轻轻把它关上|We only need a little water~我们只需要一点水
种下种子|描述简单步骤|祈使句；need|Put the seed in this hole~把种子放进这个小洞里|Does it need more soil~它需要更多泥土吗|Cover it with a thin layer~给它盖上一层薄土
照顾花苗|观察变化|have；can|Our plant has a new leaf~我们的植物长出了一片新叶子|Can you draw it in your notebook~你能把它画进笔记本吗|I will use my green pencil~我要用我的绿色铅笔
挑选水果|表达偏好|which；would like|Which apple would you like~你想要哪个苹果|The small red one looks nice~那个小红苹果看起来不错|Let us wash it before eating~我们吃之前先把它洗干净吧
小店买面包|提出购买请求|can；数量|Can I have two small rolls~我可以买两个小面包吗|They are in the paper bag~它们在纸袋里|I will carry the bag carefully~我会小心地拿着袋子
准备生日卡|表达祝福|祈使句；want|Happy birthday dear Grandma~亲爱的奶奶生日快乐|Your card is full of flowers~你的贺卡上画满了花|I want to give you a big hug~我想给您一个大大的拥抱
分享好消息|表达喜悦|一般过去时；be|I finished my book today~我今天读完了我的书|That is a wonderful start~这是一个很棒的开始|The funny ending made me laugh~有趣的结尾把我逗笑了
描述房间|描述空间|there be；方位词|There is a small desk in my room~我的房间里有一张小书桌|What do you keep on it~你在上面放些什么|My books are beside a little lamp~我的书放在一盏小灯旁边
介绍喜好|交流兴趣|like加动名词|I like making things with paper~我喜欢用纸做东西|Do you make animals too~你也做小动物吗|My favorite one is a paper frog~我最喜欢的是一只纸青蛙
放学约定|告知计划|未来表达；地点|I will wait by the school gate~我会在校门边等|My dad is coming with an umbrella~我爸爸会带着伞来|We can walk to the corner together~我们可以一起走到路口
晚上告别|道别与回应|未来表达；祈使句|See you at school tomorrow~明天学校见|Bring your drawing to show me~带上你的画给我看看|I will put it in my folder~我会把它放进文件夹里
#1
约定集合|安排时间地点|when；未来表达|When shall we meet for the picnic~我们什么时候集合去野餐|Meet me at the park gate at nine~九点在公园门口见|I will bring a blanket for everyone~我会带一张大家都能坐的毯子
说明迟到|解释原因与道歉|一般过去时；because|Sorry I am late for our meeting~对不起我们约好见面我却迟到了|Was there a problem on the way~路上遇到问题了吗|The bus was slow because of the rain~下雨了所以公交车开得慢
借阅图书|询问借用规则|how long；can|How long can I keep this book~这本书我能借多久|You can keep it for two weeks~你可以借两个星期|I will write the date on my card~我会把日期记在借书卡上
归还图书|说明物品状况|一般过去时；请求|I found a loose page in this book~我发现这本书有一页松了|Please show it to the librarian~请把它给图书管理员看看|I will return it with this note~我会附上这张说明再归还
选择社团|交流兴趣与选择|would like；because|Which club would you like to join~你想参加哪个社团|The art club meets on Friday~美术社团星期五活动|That works because I love painting~那很合适因为我喜欢画画
邀请新成员|邀请参加活动|would；can|Would you join our reading group~你愿意加入我们的阅读小组吗|I can come after my music lesson~我上完音乐课就能来|We will save a place for you~我们会给你留一个位置
安排值日|协商分工|can；分工表达|I can wipe the tables today~我今天可以擦桌子|Then I will sweep near the door~那么我来扫门边的地面|We should finish before the next lesson~我们应该在下一节课前完成
寻找失物|描述特征与地点|一般过去时；形容词|Did you see a purple water bottle~你看到一个紫色水壶了吗|There was one beside the music room~音乐教室旁边有一个|I will check the shelf outside~我去看看外面的架子
失物招领|确认身份与归还|whose；一般过去时|Someone left this scarf on the bus~有人把这条围巾落在公交车上了|Is there a name on the label~标签上有名字吗|We can take it to the driver~我们可以把它交给司机
购买文具|询问价格与数量|how much；would like|How much are these colored pencils~这些彩色铅笔多少钱|The small box costs twelve yuan~小盒的十二元|I would like the small box please~请给我小盒的
更换商品|礼貌说明问题|比较级；can|This notebook is too large for my bag~这个笔记本太大装不进我的书包|Would you prefer a smaller one~你想换一个小一点的吗|The one with the blue cover will fit~蓝封面的那个大小合适
餐厅点餐|表达饮食需求|would like；请求|I would like vegetable noodles please~我想要一份蔬菜面|Would you like them with some soup~你想配一点汤吗|A small bowl of soup would be nice~来一小碗汤就很好
说明食物偏好|礼貌拒绝与替代|prefer；but|Thank you but I prefer plain water~谢谢不过我更喜欢白水|We also have warm water in a flask~我们保温瓶里还有温水|That is just what I would like~那正是我想要的
一起做饭|协商操作步骤|祈使句；before|Please cut the tomatoes into small pieces~请把番茄切成小块|Should I wash them before cutting~切之前要先洗吗|Yes then put the pieces in this bowl~是的然后把切好的放进这个碗里
打包剩饭|提出环保建议|can；so|Can we take the extra rice home~我们能把多余的米饭带回家吗|There is a clean box in my bag~我的包里有一个干净的盒子|Then we will not waste our lunch~这样我们就不会浪费午饭了
商量周末|提出和回应建议|shall；because|Shall we visit the science museum on Sunday~我们星期天去科学博物馆好吗|It is closed on Sunday morning~星期天上午那里不开放|Then let us choose Saturday afternoon~那我们选星期六下午吧
准备郊游|计划与提醒|need；未来表达|What should we pack for our day trip~一日游我们该带什么|Bring water and a hat for the sun~带水和遮阳帽|I will check the weather before we leave~出发前我会查天气
公交换乘|询问路线|which；then|Which bus goes to the swimming pool~哪路公交车到游泳馆|Take this bus and change at the library~坐这路车在图书馆换乘|I will look for the library stop~我会留意图书馆这一站
询问步行路线|理解方位|祈使句；方位介词|Is the post office far from here~邮局离这里远吗|Walk past the bakery and turn right~走过面包店再右转|So it is just around the corner~所以它就在拐角附近
在地铁站|确认行进方向|which；目的地表达|Does this train stop at the stadium~这班地铁在体育场停吗|The stadium is in the other direction~体育场在另一个方向|We need to use the opposite platform~我们需要去对面的站台
买车票|询问信息|how many；请求|Could we have tickets for two children~可以给我们两张儿童票吗|How old are the children~孩子们多大了|They are both ten years old~他们都是十岁
雨天活动调整|协商替代计划|if；can|The playground is wet from the rain~操场被雨淋湿了|Can we play a board game inside~我们可以在室内玩桌游吗|I will bring the game from our classroom~我会从教室把游戏拿来
观察季节|描述变化|比较级；一般现在时|The days are getting longer now~现在白天越来越长了|More flowers are opening in the garden~花园里开了更多的花|Spring is a good time to take photos~春天是拍照的好时候
记录天气|报告简单观察|一般过去时；比较|Yesterday was much colder than today~昨天比今天冷多了|Did you write that in our weather chart~你把这个记进我们的天气表了吗|I added a blue mark for yesterday~我给昨天加了一个蓝色标记
分享假期|讲述经历|一般过去时|Where did you go during the holiday~假期你去了哪里|I stayed with my aunt in a small town~我住在一个小镇的阿姨家里|What was your favorite place there~你最喜欢那里的哪个地方
回答旅行问题|描述喜好与原因|一般过去时；because|The riverside market was my favorite place~河边的市场是我最喜欢的地方|What made the market special~那个市场有什么特别之处|People sold fresh fruit from their own gardens~人们在那里卖自家花园的新鲜水果
说明丢失原因|叙述先后顺序|过去时；after|I left my gloves at the sports center~我把手套落在体育中心了|Did you take them off after running~你跑步后把它们脱下来了吗|Yes I put them beside my shoes~是的我把它们放在鞋子旁边了
联系同伴|传达简单信息|can；间接内容|Can you tell Anna about our new meeting time~你能告诉安娜新的集合时间吗|I will see her at lunch~午饭时我会见到她|Please say that we will meet after school~请告诉她我们放学后集合
写邀请卡|确认信息完整|need；疑问句|What information does our invitation need~我们的邀请卡需要什么信息|Add the place and the starting time~加上地点和开始时间|I will also write a phone number~我还会写上一个电话号码
参加生日聚会|感谢与建议|thank you for；shall|Thank you for inviting me to your party~谢谢你邀请我参加聚会|We are making fruit cups in the kitchen~我们正在厨房做水果杯|Shall I help you wash the grapes~我来帮你洗葡萄好吗
祝贺朋友|祝贺与回应|过去时；比较级|Your drawing won a prize at school~你的画在学校得奖了|I practiced drawing hands for a long time~我练习画手练了很久|Your hard work made the picture even better~你的努力让这幅画更棒了
课堂没听清|请求重复与澄清|could；请求|Could you repeat the last instruction~你能重复最后一条要求吗|Write your name at the top of the page~在纸的最上方写上你的名字|Now I know where to start~现在我知道从哪里开始了
检查作业|请求核对|can；一般现在时|Can we check the answers together~我们能一起核对答案吗|I have a question about the last one~我对最后一道题有疑问|Let us explain how we found our answers~我们来解释一下各自怎么得到答案吧
制定阅读计划|安排日常任务|频率；未来表达|I want to read a little every day~我想每天读一点书|Ten minutes after dinner could work~晚饭后读十分钟应该可行|I will keep my book near the sofa~我会把书放在沙发旁边
介绍学校|提供场所信息|there be；方位词|Our school has a small vegetable garden~我们学校有一个小菜园|Who takes care of the plants~谁来照顾那些植物|Different classes help on different days~不同班级在不同的日子轮流帮忙
了解作息|交换日常信息|what time；一般现在时|What time do you usually get up~你通常几点起床|I get up before my parents leave for work~我在父母上班前起床|That gives you time for breakfast~这样你就有时间吃早餐了
改进学习习惯|提出建议|should；before|I often forget to bring my ruler~我常常忘记带尺子|You could check your bag before bed~你可以睡前检查书包|I will make a list by my desk~我会在书桌旁放一张清单
看望生病同学|关怀与提供帮助|would like；can|Would you like us to bring your homework~你希望我们给你带作业吗|A photo of the notes would help~拍一张笔记的照片会有帮助|We can ask the teacher which pages you need~我们可以问老师你需要哪几页
体育课求助|描述状况与求助|过去时；can|I hurt my knee when I fell~我摔倒时伤了膝盖|Let us tell the sports teacher now~我们现在就告诉体育老师吧|Can you stay with me while we wait~等待时你能陪着我吗
保持安静|说明公共规则|should；because|We should speak quietly in this room~我们在这个房间里应该轻声说话|Other people are trying to read~其他人正在认真阅读|I will tell you the story outside~我到外面再给你讲这个故事
参观提示|理解规则和原因|must not；because|Please do not touch the old vase~请不要碰那个古老的花瓶|Is it easy to break~它很容易碎吗|Yes we can enjoy it from behind the line~是的我们站在线后面欣赏它就好
过马路|理解安全规则|wait until；祈使句|Wait until the walking light turns green~等行人通行灯变绿再走|We should check both sides as well~我们还应该看清两边|Let us cross with the other people~我们和其他行人一起过马路吧
照顾宠物|确认日常任务|过去时；need|Did you give the rabbit fresh water~你给兔子换新鲜的水了吗|I filled its bowl this morning~我今天早上装满了它的水碗|We should check it again after school~我们放学后应该再检查一次
观察植物|比较与解释|比较级；because|This plant is taller than the other one~这株植物比另一株高|It gets more sunlight by the window~它在窗边能晒到更多阳光|Let us move the small plant closer~我们把小的那株也移近一点吧
共同清洁|提出分工建议|can；while|You can collect the empty bottles~你可以收集空瓶子|I will pick up the paper near the bench~我来捡长椅附近的纸|We can sort everything when we finish~我们做完后再把所有东西分类
重复利用|提出创意|can；用途表达|This box could become a toy garage~这个盒子可以变成玩具车库|We need doors wide enough for the cars~我们需要足够宽的门让车通过|I can draw the parking spaces inside~我可以在里面画停车位
节约用电|提醒与解释|一般现在时；祈使句|The lights are on in the empty classroom~空教室里的灯还亮着|Please turn them off when you leave~离开时请把灯关掉|There is enough sunlight this afternoon~今天下午的阳光已经很充足了
减少塑料|提出替代选择|instead of；can|I brought my own bag for the shopping~我带了自己的购物袋|Then we do not need a plastic one~这样我们就不需要塑料袋了|This bag can carry all our vegetables~这个袋子能装下我们所有的蔬菜
介绍节日|描述家庭习俗|一般现在时|What does your family do at the festival~你家在这个节日里做什么|We make a special meal together~我们一起做一顿特别的饭菜|I like helping to set the table~我喜欢帮忙摆餐桌
学习包饺子|请求示范|could；祈使句|Could you show me how to fold a dumpling~你能教我怎么捏饺子吗|Press the edges together like this~像这样把边缘捏在一起|My first dumpling looks a little funny~我的第一个饺子看起来有点好笑
介绍家乡|描述地方特色|there be；一般现在时|There is a busy river near my home~我家附近有一条繁忙的河|Do many boats travel along it~有很多船在河上行驶吗|We can watch them from the bridge~我们可以从桥上看它们
解释比赛规则|说明规则|first；then；can|First choose a card from this pile~先从这叠卡片里选一张|Can I look at it before choosing~我选之前可以先看吗|Keep it face down until your turn~轮到你之前要让卡片正面朝下
处理小分歧|表达偏好与协商|but；先后安排|I would rather build a tower~我更想搭一座塔|But I want to make a bridge~可是我想搭一座桥|We can build a bridge between two towers~我们可以在两座塔之间搭一座桥
赞美作品|评价与追问|形容词；how|Your paper bird looks very real~你的纸鸟看起来很逼真|How did you make the wings~你是怎么做翅膀的|I folded them twice to make them stronger~我折了两次让翅膀更结实
接受建议|回应反馈|can；try|The words on your poster are quite small~你海报上的字有点小|I can write the title with a thicker pen~我可以用粗一点的笔写标题|Then people can read it from far away~这样人们从远处也能看清
学会等待|理解时间安排|before；after|We still have time before the show~离演出开始还有一些时间|Shall we look at the pictures in the hall~我们去看看大厅里的图片好吗|We can come back when the bell rings~铃响时我们再回来
请求拍照|提出礼貌请求|would；祈使句|Would you take a photo of our group~你愿意给我们小组拍张照吗|Stand together beside the school sign~一起站到校牌旁边吧|Please make sure everyone is in the picture~请确保每个人都拍进去
准备小演讲|询问准备方法|what；can|What can I say about my favorite animal~介绍最喜欢的动物时我可以说什么|Tell us where it lives and what it eats~告诉我们它住在哪里吃什么|I will add a picture to help explain~我会加一张图片帮助说明
回顾一次活动|描述感受与收获|过去时；because|I enjoyed our visit to the fire station~我很喜欢这次消防站参观|Which part did you like most~你最喜欢哪一部分|The equipment was interesting because each tool had a job~装备很有趣因为每件工具都有自己的用途
分享新发现|报告观察与计划|过去时；未来表达|I saw a new bird in the park~我在公园里看到一种新鸟|Can you describe its beak and tail~你能描述它的喙和尾巴吗|I will draw it before I forget~我会趁还记得把它画下来
#2
询问换乘路线|获取和确认路线信息|间接疑问句；祈使句|Could you tell me how to get to the museum~你能告诉我怎么去博物馆吗|Change to the next line at the central station~在中心站换乘另一条线路|Let me check the map before we board~上车前让我核对一下地图
公交错过站点|说明问题并求助|过去时；should|I think we have just missed our stop~我想我们刚刚坐过站了|We should get off at the next stop~我们应该在下一站下车|Then we can check the route back~然后我们可以查看返回的路线
购买往返车票|确认价格与条件|比较级；条件句|Is a return ticket cheaper than two single tickets~往返票比两张单程票便宜吗|It is cheaper if you return on the same day~如果当天返回就更便宜|That suits our plan for this afternoon~那正好适合我们今天下午的安排
临时改期|提出调整并协商|could；一般将来时|Could we move our meeting to Friday~我们能把见面改到星期五吗|I have a music lesson until half past four~我有音乐课要上到四点半|We could meet after your lesson instead~我们可以改在你下课之后见
预约参观|询问预约要求|need to；how many|Do we need to book our visit in advance~我们需要提前预约参观吗|Groups should book at least a day before arriving~团体应至少提前一天预约|I will confirm how many classmates are coming~我会确认有多少同学要来
天气影响行程|权衡与调整计划|if条件句；建议|If the heavy rain continues we should change our plan~如果大雨持续我们应该改变计划|The indoor exhibition is still open this weekend~室内展览这个周末仍然开放|Let us check the opening hours before deciding~我们决定前先查一下开放时间
图书续借|提出请求并确认规则|现在完成时；if|I have not finished the book I borrowed~我还没有读完借来的书|You can renew it if nobody is waiting for it~如果没有其他人在等就可以续借|Could you check whether it is available for renewal~你能查一下这本书能否续借吗
寻找资料|说明检索需求|which；比较表达|Which section has books about local history~哪个区域有关于本地历史的书|Try the shelves beside the information desk~去服务台旁边的书架看看|I am looking for photographs of the old neighborhood~我正在找老街区的照片
请教生词|利用语境求助|what；语境推断|What does this word mean in the story~这个词在故事里是什么意思|Look at what the character does in the next sentence~看看下一句里人物做了什么|That action helps me understand the meaning~那个动作帮助我理解了词义
课堂记笔记|讨论学习策略|while；比较|I find it hard to listen and write at once~我觉得同时听讲和写字有点难|Try noting the key words instead of every sentence~试着记关键词而不是每一句话|Then I can complete my notes after class~这样我可以课后补全笔记
请求作业说明|澄清任务要求|whether；need to|Do we need to explain our answer in writing~我们需要把答案的理由写出来吗|The teacher asked for one example as well~老师还要求举一个例子|I will add an example from the text~我会补一个课文中的例子
处理作业遗漏|承担责任并补救|过去时；未来表达|I completed the work but left it at home~我完成了作业但把它落在家里了|Please tell the teacher before the lesson starts~请在上课前告诉老师|I will bring it tomorrow and check my bag tonight~我明天会带来并在今晚检查书包
复习安排|安排学习与休息|before；时间表达|How are you planning to revise for the test~你打算怎样复习这次测验|I will review one topic and then take a break~我会复习一个主题然后休息一下|That sounds easier to manage than studying everything at once~这听起来比一次复习所有内容更容易安排
交流阅读感受|表达评价与原因|because；过去时|The ending of this story surprised me~这个故事的结尾让我很意外|Was it different from what you expected~它和你预期的不一样吗|I thought the two friends would solve the problem together~我原以为两个朋友会一起解决问题
推荐书籍|提出推荐并说明理由|if；定语修饰|You might enjoy this book about a young explorer~你可能会喜欢这本关于年轻探险者的书|Does it include real places and maps~它里面有真实的地点和地图吗|Yes the maps make the journey easy to follow~有地图让旅程很容易理解
了解社团安排|获取活动细节|how often；一般现在时|How often does the school drama club meet~学校戏剧社多久活动一次|We rehearse twice a week before a performance~演出前我们每周排练两次|I should check whether those times fit my schedule~我应该看看那些时间是否适合我的安排
尝试新活动|表达顾虑与鼓励|现在完成时；could|I have never tried making a short film~我从来没有尝试过拍短片|You could begin with a story about your school day~你可以从校园一天的小故事开始|A familiar subject would help me feel more confident~熟悉的题材能让我更有信心
申请志愿服务|询问职责|would；need to|What would I do as a museum volunteer~做博物馆志愿者需要做什么|You would help visitors find the exhibition rooms~你需要帮助游客找到展厅|I would like to learn the layout first~我想先熟悉一下布局
讲述志愿经历|分享经历与收获|过去时；比较|We helped younger children choose books yesterday~昨天我们帮助低年级孩子选书|Did you find it easy to explain the stories~你觉得解释故事容易吗|I learned to use simpler words and more pictures~我学会了用更简单的词和更多图片
商店退换|说明问题并协商|过去时；could|The zipper on this bag stopped working yesterday~这个包的拉链昨天坏了|Do you still have the receipt~你还留着收据吗|Yes could I exchange it for the same model~留着我能换一个同款的吗
核对账单|礼貌指出问题|there be；could|There seems to be an extra drink on our bill~我们的账单上好像多了一杯饮料|Let me compare it with your order~让我核对一下你们点的单|Thank you for checking it before we pay~谢谢你在我们付款前核对
餐厅等位|询问等待时间|how long；can|How long is the wait for a table~等位大约需要多久|A table for three should be ready quite soon~一张三人桌应该很快就能空出来|Could we wait near the entrance~我们可以在入口附近等吗
说明食物过敏|清楚表达饮食限制|contain；请求核实|Does this dish contain any peanuts~这道菜含有花生吗|I will ask the kitchen to check the ingredients~我会请厨房核对配料|Please let them know that I have a peanut allergy~请告诉他们我对花生过敏
住宿咨询|获取服务信息|what time；before|What time do we need to leave our room tomorrow~我们明天需要几点退房|Please check out before eleven in the morning~请在上午十一点之前退房|May we leave our bags at the front desk afterward~退房后我们可以把行李寄存在前台吗
旅途失物|描述物品与经过|过去时；特征描述|I left a small black backpack on the train~我把一个小黑背包落在列车上了|Can you remember which carriage you were in~你还记得自己在哪节车厢吗|I was near the front beside a family with a stroller~我坐在前面旁边是一家带着婴儿车的人
手机没电|提出实际求助|could；原因|My phone has run out of battery~我的手机没电了|You can use mine to contact your family~你可以用我的手机联系家人|Could I make a short call to my father~我可以给爸爸打个简短的电话吗
说明网络问题|描述问题与尝试|现在完成时；一般过去时|The page has stopped loading on my computer~电脑上的页面停止加载了|Have you checked the network connection~你检查网络连接了吗|It is connected so I will try refreshing the page~网络连着所以我会试着刷新页面
线上交流礼仪|提出建议与理由|should；before|We should read our message before sending it~我们发送消息前应该先检查一下|A short message can sometimes sound unfriendly~简短的消息有时会显得不友好|I will add a greeting and explain what I mean~我会加上问候并说明我的意思
核实网络消息|询问来源|where；before|Where did you find that surprising piece of news~你在哪里看到那条令人吃惊的消息|Someone shared it in our class group~有人把它分享到班级群里|We should check the original source before sharing it again~我们应该核实原始来源再转发
保护个人信息|说明边界|should not；because|This website is asking for my home address~这个网站在索要我的家庭住址|Ask a trusted adult before giving personal details~提供个人信息之前先问可信赖的成年人|I will leave the form blank for now~我暂时不会填写这个表格
约定拍摄许可|征求他人同意|may；before|May I include you in our class video~我可以把你拍进班级视频吗|Please tell me where the video will be shown~请告诉我视频会在哪里播放|It will only be shown during our class meeting~它只会在我们的班会上播放
处理同伴误会|澄清意图|过去时；because|I was not ignoring your message yesterday~我昨天并不是故意不回你的消息|I thought you were upset with me~我以为你在生我的气|My phone was off while I was visiting my grandparents~我探望祖父母时手机关机了
表达不同意见|礼貌提出观点|but；because|I see your point but I prefer the second plan~我理解你的意思但更喜欢第二个方案|Could you explain what makes it better~你能解释一下它好在哪里吗|It gives everyone more time to prepare~它让每个人都有更多准备时间
商量活动预算|权衡费用|比较级；could|The tickets cost more than we expected~票价比我们预想的高|Could we choose the free exhibition instead~我们可以改去免费展览吗|Then we would still have money for the bus~这样我们还会剩下坐公交车的钱
